,Co,Ni,W,Al,Cr,Fe,Ti,Cu,structure,volume,bandgap,natoms,ntypes,energy,crystal_structure,crystal_system
45,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,271.904,0.0,24,2,0.214623540833332,P,hexagonal
46,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.774,0.0,13,2,0.1276658146153846,R,trigonal
47,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.137,0.0,13,2,0.112354595384615,R,trigonal
48,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,144.691,0.0,13,2,0.1169210269230769,R,trigonal
49,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.16,0.0,13,2,0.1053141600000016,R,trigonal
50,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.008,0.0,13,2,0.1038763238461556,R,trigonal
51,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.298,0.0,13,2,0.1189236938461551,R,trigonal
52,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,327.764,0.0,30,2,0.0620110556666674,P,tetragonal
53,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,327.703,0.0,30,2,0.0533046683333338,P,tetragonal
54,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,327.578,0.0,30,2,0.0578803900000006,P,tetragonal
55,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,144.914,0.0,13,2,0.1104393230769241,R,trigonal
56,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,I-43m,315.211,0.0,29,2,0.0418836655172411,I,cubic
57,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,I-43m,315.421,0.0,29,2,0.0837719293103442,I,cubic
58,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,I-43m,315.036,0.0,29,2,0.0412234955172407,I,cubic
59,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,I-43m,315.207,0.0,29,2,0.0899615486206896,I,cubic
60,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.229,0.0,30,2,0.0529972763333338,P,tetragonal
61,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,327.411,0.0,30,2,0.047520947000001,P,tetragonal
62,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,I-43m,314.569,0.0,29,2,0.0842577082758625,I,cubic
63,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,I-43m,315.59,0.0,29,2,0.0533852327586205,I,cubic
64,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,I-43m,314.973,0.0,29,2,0.0522232637931028,I,cubic
65,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,I-43m,315.256,0.0,29,2,0.0851108217241368,I,cubic
66,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,86.4625,0.0,6,2,1.08986502833333,P,tetragonal
67,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fd-3m,68.6216,0.0,6,2,0.2075734216666672,F,cubic
68,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,135.054,0.0,12,2,0.1717178641666663,P,hexagonal
69,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cmcm,134.597,0.0,12,2,0.2009021466666662,C,orthorhombic
70,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cmcm,134.631,0.0,12,2,0.186529585833334,C,orthorhombic
71,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,272.841,0.0,24,2,0.2004440241666666,P,hexagonal
72,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,272.313,0.0,24,2,0.1998736566666667,P,hexagonal
73,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,272.762,0.0,24,2,0.182719767083333,P,hexagonal
74,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.462,0.0,30,2,0.0638155533333332,P,tetragonal
75,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fd-3m,68.788,0.0,6,2,0.2071446133333339,F,cubic
76,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,327.59,0.0,30,2,0.0576119760000002,P,tetragonal
77,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.661,0.0,13,2,0.1613744592307689,R,trigonal
78,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,143.764,0.0,13,2,0.2455923907692301,R,trigonal
79,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.443,0.0,13,2,0.1421388584615379,R,trigonal
80,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.134,0.0,30,2,0.1644017276666668,P,tetragonal
81,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3c,118.239,0.0,10,2,0.432674789,R,trigonal
82,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.47,0.0,30,2,0.0809533716666673,P,tetragonal
83,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.126,0.0,30,2,0.0790599550000005,P,tetragonal
84,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.538,0.0,30,2,0.0810174973333336,P,tetragonal
85,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,I-43m,314.798,0.0,29,2,0.032461236206897,I,cubic
86,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,I-43m,314.241,0.0,29,2,0.0511012117241385,I,cubic
87,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,I-43m,314.622,0.0,29,2,0.0329405089655175,I,cubic
